D_INTERVIEW,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233
484070001,4,4,1,1,1,4,1,1,1,1
484070002,4,3,1,1,4,4,1,1,4,4
484070003,1,1,1,2,1,3,1,2,1,1
484070004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
484070005,4,4,2,1,1,4,1,1,4,4
484070006,4,3,2,1,1,1,1,1,4,4
484070007,1,1,1,1,1,1,1,1,1,1
484070008,4,3,1,1,3,4,1,1,4,3
484070009,3,2,2,1,3,3,1,4,1,1
484070010,2,4,3,1,2,3,2,3,1,3
484070011,1,1,1,3,4,2,4,4,4,4
484070012,2,2,2,2,4,2,4,2,2,2
484070013,3,2,1,1,2,3,3,4,1,2
484070014,4,1,1,1,3,4,1,1,3,3
484070015,2,2,2,3,2,2,2,3,2,3
484070016,3,3,2,2,3,4,2,3,1,1
484070017,4,4,1,1,1,4,1,1,4,1
484070018,4,4,1,1,1,4,4,4,4,1
484070019,3,3,1,1,3,3,3,3,3,3
484070020,2,3,2,1,2,2,1,2,1,1
484070021,2,3,3,3,2,4,3,4,1,1
484070022,1,4,4,4,4,4,4,4,4,4
484070023,3,3,2,1,4,4,1,1,4,2
484070024,4,4,4,1,1,1,1,4,1,1
484070025,3,4,-1,-1,-1,-1,-1,-1,-1,-1
484070026,1,2,2,2,2,4,1,1,1,1
484070027,3,3,1,2,1,4,1,2,3,3
484070028,4,4,1,1,1,4,1,1,1,1
484070029,3,2,2,1,3,3,1,3,1,3
484070030,4,2,2,1,1,1,-1,2,4,1
484070031,1,3,3,1,1,1,1,1,3,3
484070032,3,3,1,1,1,3,2,3,1,3
484070033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
484070034,3,-1,-1,2,2,1,1,4,1,-1
484070035,3,3,2,3,3,1,1,1,1,1
484070036,1,1,1,1,1,1,3,1,1,1
484070037,1,3,3,1,1,3,1,3,3,3
484070038,3,1,1,1,2,3,1,2,1,1
484070039,4,1,1,1,1,4,4,1,1,1
484070040,4,4,4,1,1,1,1,1,4,4
